id,label
0,horse
1,automobile
2,deer
3,automobile
4,airplane
5,bird
6,bird
7,dog
8,truck
9,frog
10,airplane
11,automobile
12,cat
13,automobile
14,automobile
15,bird
16,automobile
17,automobile
18,dog
19,frog
20,truck
21,bird
22,deer
23,bird
24,ship
25,ship
26,cat
27,horse
28,automobile
29,horse
30,automobile
31,horse
32,cat
33,truck
34,horse
35,airplane
36,horse
37,ship
38,dog
39,frog
40,deer
41,dog
42,bird
43,dog
44,truck
45,ship
46,deer
47,ship
48,truck
49,deer
50,frog
51,dog
52,truck
53,cat
54,horse
55,truck
56,truck
57,dog
58,cat
59,truck
60,bird
61,horse
62,ship
63,truck
64,airplane
65,horse
66,cat
67,airplane
68,automobile
69,horse
70,automobile
71,deer
72,frog
73,ship
74,bird
75,cat
76,cat
77,automobile
78,frog
79,frog
80,dog
81,airplane
82,cat
83,dog
84,automobile
85,truck
86,cat
87,dog
88,airplane
89,airplane
90,truck
91,frog
92,deer
93,truck
94,ship
95,ship
96,ship
97,automobile
98,cat
99,automobile
100,bird
101,truck
102,cat
103,horse
104,ship
105,truck
106,airplane
107,truck
108,dog
109,bird
110,bird
111,cat
112,horse
113,airplane
114,deer
115,ship
116,truck
117,cat
118,automobile
119,horse
120,cat
121,deer
122,deer
123,airplane
124,deer
125,dog
126,truck
127,horse
128,dog
129,dog
130,horse
131,bird
132,truck
133,deer
134,dog
135,frog
136,deer
137,bird
138,ship
139,deer
140,deer
141,frog
142,frog
143,airplane
144,bird
145,truck
146,truck
147,horse
148,ship
149,frog
150,cat
151,deer
152,cat
153,dog
154,truck
155,frog
156,airplane
157,dog
158,truck
159,ship
160,truck
161,ship
162,ship
163,airplane
164,frog
165,frog
166,airplane
167,truck
168,ship
169,frog
170,deer
171,horse
172,horse
173,truck
174,truck
175,cat
176,airplane
177,truck
178,dog
179,dog
180,dog
181,dog
182,airplane
183,horse
184,dog
185,ship
186,ship
187,automobile
188,cat
189,frog
190,airplane
191,ship
192,cat
193,horse
194,truck
195,automobile
196,deer
197,automobile
198,truck
199,cat
200,deer
201,automobile
202,automobile
203,bird
204,horse
205,deer
206,cat
207,dog
208,frog
209,cat
210,automobile
211,cat
212,automobile
213,bird
214,automobile
215,dog
216,dog
217,frog
218,bird
219,dog
220,frog
221,deer
222,cat
223,frog
224,cat
225,frog
226,deer
227,frog
228,automobile
229,bird
230,deer
231,automobile
232,airplane
233,automobile
234,deer
235,truck
236,dog
237,dog
238,bird
239,deer
240,ship
241,truck
242,airplane
243,ship
244,bird
245,dog
246,automobile
247,frog
248,frog
249,cat
250,dog
251,frog
252,bird
253,frog
254,ship
255,deer
256,horse
257,dog
258,automobile
259,bird
260,deer
261,truck
262,ship
263,deer
264,airplane
265,airplane
266,frog
267,frog
268,automobile
269,horse
270,airplane
271,dog
272,bird
273,dog
274,automobile
275,cat
276,cat
277,bird
278,horse
279,deer
280,frog
281,horse
282,cat
283,automobile
284,truck
285,horse
286,deer
287,truck
288,airplane
289,automobile
290,dog
291,automobile
292,horse
293,frog
294,horse
295,cat
296,automobile
297,airplane
298,frog
299,deer
300,frog
301,airplane
302,truck
303,horse
304,airplane
305,bird
306,bird
307,truck
308,automobile
309,ship
310,cat
311,deer
312,dog
313,airplane
314,airplane
315,deer
316,automobile
317,automobile
318,ship
319,bird
320,bird
321,bird
322,bird
323,dog
324,automobile
325,ship
326,horse
327,ship
328,bird
329,automobile
330,dog
331,dog
332,automobile
333,airplane
334,bird
335,bird
336,horse
337,deer
338,ship
339,airplane
340,deer
341,bird
342,bird
343,horse
344,airplane
345,dog
346,bird
347,airplane
348,truck
349,airplane
350,frog
351,bird
352,horse
353,bird
354,ship
355,frog
356,truck
357,airplane
358,airplane
359,bird
360,bird
361,frog
362,cat
363,deer
364,bird
365,horse
366,frog
367,bird
368,dog
369,bird
370,automobile
371,ship
372,ship
373,airplane
374,dog
375,ship
376,horse
377,automobile
378,truck
379,cat
380,cat
381,deer
382,cat
383,frog
384,truck
385,cat
386,ship
387,airplane
388,truck
389,cat
390,airplane
391,automobile
392,frog
393,airplane
394,horse
395,dog
396,deer
397,airplane
398,ship
399,automobile
400,deer
401,truck
402,cat
403,automobile
404,bird
405,truck
406,automobile
407,horse
408,bird
409,horse
410,deer
411,deer
412,airplane
413,airplane
414,deer
415,deer
416,horse
417,dog
418,truck
419,airplane
420,frog
421,dog
422,cat
423,airplane
424,bird
425,automobile
426,truck
427,automobile
428,bird
429,frog
430,frog
431,truck
432,horse
433,cat
434,automobile
435,truck
436,dog
437,bird
438,airplane
439,dog
440,cat
441,deer
442,ship
443,frog
444,truck
445,airplane
446,ship
447,ship
448,dog
449,horse
450,cat
451,bird
452,frog
453,frog
454,cat
455,automobile
456,cat
457,airplane
458,airplane
459,horse
460,bird
461,ship
462,ship
463,truck
464,truck
465,truck
466,truck
467,cat
